+-------------------------------------------------------------+------+------+---------------------------------+----------+
| NOTE: The Block ID is for very specific low-level purposes only!                                                       |
| It WILL be different in every world since Minecraft 1.7,                                                               |
| because they are dynamically allocated by the game!                                                                    |
+-------------------------------------------------------------+------+------+---------------------------------+----------+
| Registry name                                               |   ID | meta | Display name                    |    Count |
+-------------------------------------------------------------+------+------+---------------------------------+----------+
| aether:aether_dirt                                          |  695 |    0 | Aether Dirt                     |   393023 |
| aether:aether_grass                                         |  696 |    0 | Highlands Grass                 |   135209 |
| arcanelamps:arcanecrystalore                                |  271 |    0 | Arcane Crystal Ore              |     3956 |
| astralsorcery:blockcustomore                                | 3340 |    0 | Rock Crystal Ore                |        8 |
| astralsorcery:blockcustomsandore                            | 3341 |    0 | Aquamarine Shale                |       24 |
| astralsorcery:blockmarble                                   | 3343 |    0 | Marble                          |    48832 |
| astralsorcery:blockmarble                                   | 3343 |    1 | Marble Bricks                   |      150 |
| astralsorcery:blockmarble                                   | 3343 |    2 | Marble Pillar                   |      134 |
| astralsorcery:blockmarble                                   | 3343 |    4 | Chiseled Marble                 |        8 |
| astralsorcery:blockmarble                                   | 3343 |    6 | Runed Marble                    |       31 |
| botania:mushroom                                            | 1579 |    0 | White Shimmering Mushroom       |        1 |
| botania:mushroom                                            | 1579 |    1 | Orange Shimmering Mushroom      |        1 |
| botania:mushroom                                            | 1579 |    2 | Magenta Shimmering Mushroom     |        1 |
| botania:mushroom                                            | 1579 |    3 | Light Blue Shimmering Mushroom  |        1 |
| botania:mushroom                                            | 1579 |    4 | Yellow Shimmering Mushroom      |        2 |
| botania:mushroom                                            | 1579 |    5 | Lime Shimmering Mushroom        |        3 |
| botania:mushroom                                            | 1579 |    6 | Pink Shimmering Mushroom        |        2 |
| botania:mushroom                                            | 1579 |    7 | Gray Shimmering Mushroom        |        3 |
| botania:mushroom                                            | 1579 |    8 | Light Gray Shimmering Mushroom  |        2 |
| botania:mushroom                                            | 1579 |   10 | Purple Shimmering Mushroom      |        5 |
| botania:mushroom                                            | 1579 |   11 | Blue Shimmering Mushroom        |        1 |
| botania:mushroom                                            | 1579 |   13 | Green Shimmering Mushroom       |        2 |
| botania:mushroom                                            | 1579 |   14 | Red Shimmering Mushroom         |        2 |
| botania:mushroom                                            | 1579 |   15 | Black Shimmering Mushroom       |        5 |
| charm:crate_sealed                                          | 3394 |    0 | Oak Sealed Crate                |       10 |
| charm:crate_sealed                                          | 3394 |    1 | Spruce Sealed Crate             |       15 |
| charm:crate_sealed                                          | 3394 |    2 | Birch Sealed Crate              |       13 |
| charm:crate_sealed                                          | 3394 |    3 | Jungle Sealed Crate             |       14 |
| charm:crate_sealed                                          | 3394 |    4 | Acacia Sealed Crate             |       12 |
| charm:crate_sealed                                          | 3394 |    5 | Dark Oak Sealed Crate           |       18 |
| chisel:basalt2                                              | 1772 |    7 | Basalt                          |    68021 |
| chisel:limestone2                                           | 1927 |    7 | Limestone                       |   229752 |
| chisel:marble2                                              | 1930 |    7 | Marble                          |   313350 |
| corvus:crystal_quartz_ore                                   | 2071 |    0 | Crystal Quartz Ore              |     3691 |
| earthworks:block_chalk                                      | 2162 |    0 | Chalk                           |    13185 |
| earthworks:block_slate                                      | 2178 |    0 | Blue Slate                      |   142475 |
| earthworks:block_slate_green                                | 2179 |    0 | Green Slate                     |   141323 |
| earthworks:block_slate_purple                               | 2180 |    0 | Purple Slate                    |   139721 |
| embers:ore_aluminum                                         | 3506 |    0 | Aluminium Ore                   |     8432 |
| embers:ore_copper                                           | 3405 |    0 | Copper Ore                      |    34784 |
| embers:ore_lead                                             | 3406 |    0 | Lead Ore                        |    10665 |
| embers:ore_nickel                                           | 3511 |    0 | Nickel Ore                      |     7270 |
| embers:ore_quartz                                           | 3470 |    0 | Quartz Ore                      |     9568 |
| embers:ore_silver                                           | 3407 |    0 | Silver Ore                      |     7710 |
| embers:ore_tin                                              | 3514 |    0 | Tin Ore                         |    12351 |
| endreborn:block_essence_ore                                 | 2473 |    0 | Essence Ore                     |    36440 |
| endreborn:block_wolframium_ore                              | 2479 |    0 | Wolframium Ore                  |    25932 |
| endreborn:end_stone_glow                                    | 2487 |    0 | Glow Endstone                   |     9010 |
| minecraft:air                                               |    0 |    0 | minecraft:air                   | 31913073 |
| minecraft:bed                                               |   26 |    0 | minecraft:bed                   |        1 |
| minecraft:bed                                               |   26 |    3 | minecraft:bed                   |        1 |
| minecraft:bed                                               |   26 |    8 | minecraft:bed                   |        1 |
| minecraft:bed                                               |   26 |   11 | minecraft:bed                   |        1 |
| minecraft:bedrock                                           |    7 |    0 | Bedrock                         |   504120 |
| minecraft:cauldron                                          |  118 |    3 | minecraft:cauldron              |        1 |
| minecraft:chest                                             |   54 |    2 | Oak Chest                       |       45 |
| minecraft:chest                                             |   54 |    3 | Oak Chest                       |        9 |
| minecraft:chest                                             |   54 |    4 | Oak Chest                       |        8 |
| minecraft:chest                                             |   54 |    5 | Oak Chest                       |        7 |
| minecraft:clay                                              |   82 |    0 | Clay                            |    56106 |
| minecraft:coal_ore                                          |   16 |    0 | Coal Ore                        |        4 |
| minecraft:cobblestone                                       |    4 |    0 | Cobblestone                     |      611 |
| minecraft:crafting_table                                    |   58 |    0 | Crafting Table                  |        2 |
| minecraft:dirt                                              |    3 |    0 | Dirt                            |    43632 |
| minecraft:dirt                                              |    3 |    1 | Coarse Dirt                     |      216 |
| minecraft:fence                                             |   85 |    0 | Oak Fence                       |     1108 |
| minecraft:fire                                              |   51 |    2 | minecraft:fire                  |        1 |
| minecraft:flower_pot                                        |  140 |    0 | minecraft:flower_pot            |        2 |
| minecraft:flowing_lava                                      |   10 |    0 | minecraft:flowing_lava          |     1571 |
| minecraft:flowing_lava                                      |   10 |    4 | minecraft:flowing_lava          |        1 |
| minecraft:flowing_lava                                      |   10 |    6 | minecraft:flowing_lava          |        2 |
| minecraft:flowing_water                                     |    8 |    4 | minecraft:flowing_water         |        1 |
| minecraft:gold_ore                                          |   14 |    0 | Gold Ore                        |        1 |
| minecraft:grass                                             |    2 |    0 | Grass Block                     |     2205 |
| minecraft:gravel                                            |   13 |    0 | Gravel                          |     7234 |
| minecraft:iron_door                                         |   71 |    0 | minecraft:iron_door             |        1 |
| minecraft:iron_door                                         |   71 |    1 | minecraft:iron_door             |        1 |
| minecraft:iron_door                                         |   71 |    8 | minecraft:iron_door             |        2 |
| minecraft:iron_ore                                          |   15 |    0 | Iron Ore                        |       15 |
| minecraft:ladder                                            |   65 |    3 | Ladder                          |        4 |
| minecraft:lava                                              |   11 |    0 | minecraft:lava                  |    57852 |
| minecraft:lava                                              |   11 |    2 | minecraft:lava                  |       29 |
| minecraft:lava                                              |   11 |    4 | minecraft:lava                  |       20 |
| minecraft:lava                                              |   11 |    6 | minecraft:lava                  |        8 |
| minecraft:lava                                              |   11 |    8 | minecraft:lava                  |        1 |
| minecraft:lava                                              |   11 |   10 | minecraft:lava                  |        8 |
| minecraft:lava                                              |   11 |   12 | minecraft:lava                  |        9 |
| minecraft:lava                                              |   11 |   14 | minecraft:lava                  |        7 |
| minecraft:log                                               |   17 |    1 | Spruce Wood                     |       52 |
| minecraft:mob_spawner                                       |   52 |    0 | Monster Spawner                 |       13 |
| minecraft:mossy_cobblestone                                 |   48 |    0 | Moss Stone                      |     1562 |
| minecraft:oak_stairs                                        |   53 |    4 | Oak Wood Stairs                 |        1 |
| minecraft:oak_stairs                                        |   53 |    5 | Oak Wood Stairs                 |        1 |
| minecraft:oak_stairs                                        |   53 |    6 | Oak Wood Stairs                 |        1 |
| minecraft:oak_stairs                                        |   53 |    7 | Oak Wood Stairs                 |        1 |
| minecraft:planks                                            |    5 |    0 | Oak Wood Planks                 |     1449 |
| minecraft:rail                                              |   66 |    0 | Rail                            |      236 |
| minecraft:rail                                              |   66 |    1 | Rail                            |      130 |
| minecraft:rail                                              |   66 |    9 | Rail                            |        2 |
| minecraft:red_flower                                        |   38 |    0 | Poppy                           |        6 |
| minecraft:red_flower                                        |   38 |    1 | Blue Orchid                     |        1 |
| minecraft:red_flower                                        |   38 |    6 | White Tulip                     |        2 |
| minecraft:red_flower                                        |   38 |    8 | Oxeye Daisy                     |        1 |
| minecraft:red_sandstone                                     |  179 |    0 | Red Sandstone                   |      222 |
| minecraft:redstone_ore                                      |   73 |    0 | Redstone Ore                    |        3 |
| minecraft:sand                                              |   12 |    0 | Sand                            |   170325 |
| minecraft:sandstone                                         |   24 |    0 | Sandstone                       |   119765 |
| minecraft:sandstone                                         |   24 |    2 | Smooth Sandstone                |       22 |
| minecraft:sea_lantern                                       |  169 |    0 | Sea Lantern                     |       20 |
| minecraft:skull                                             |  144 |    1 | minecraft:skull                 |       14 |
| minecraft:spruce_door                                       |  193 |    1 | minecraft:spruce_door           |        1 |
| minecraft:spruce_door                                       |  193 |    8 | minecraft:spruce_door           |        1 |
| minecraft:spruce_fence                                      |  188 |    0 | Spruce Fence                    |        2 |
| minecraft:stone                                             |    1 |    0 | Stone                           |    92521 |
| minecraft:stone_brick_stairs                                |  109 |    4 | Stone Brick Stairs              |       64 |
| minecraft:stone_brick_stairs                                |  109 |    5 | Stone Brick Stairs              |       64 |
| minecraft:stone_brick_stairs                                |  109 |    6 | Stone Brick Stairs              |       65 |
| minecraft:stone_brick_stairs                                |  109 |    7 | Stone Brick Stairs              |       66 |
| minecraft:stone_slab                                        |   44 |    5 | Stone Bricks Slab               |       16 |
| minecraft:stone_slab                                        |   44 |   13 | Stone Bricks Slab               |       16 |
| minecraft:stonebrick                                        |   98 |    0 | Stone Bricks                    |     1573 |
| minecraft:stonebrick                                        |   98 |    1 | Mossy Stone Bricks              |     1576 |
| minecraft:stonebrick                                        |   98 |    2 | Cracked Stone Bricks            |     1602 |
